facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
93,15597,Sitoi Tea Dispensary,Nandi,Nandi East,Dispensary,Company Medical Service,Nandi Hills,0,0,f,f,Operational,0.166667,35.133333
94,16147,Sivilie Dispensary,Kakamega,Kakamega Central (Lurambi),Dispensary,Ministry of Health,Navakholo Mkt,0,0,f,f,Operational,0.284767,34.752308
95,17536,Siwadhe Medical Clinic,Siaya,Siaya,Medical Clinic,Private Practice - General Practitioner,Siaya Town,0,0,f,f,Operational,0.066667,34.283333
96,15598,Siwo Dispensary,Nandi,Nandi East,Dispensary,Ministry of Health,Nandi Hills,0,0,f,f,Operational,0.166667,35.133333
97,15599,Siyiapei (AIC) Dispensary,Narok,Narok North,Dispensary,Christian Health Association of Kenya,Narok,3,0,f,f,Operational,-1.083333,35.866667
98,11775,Skans Health Care Centre,Mombasa,Kisauni,Nursing Home,Private Practice - Unspecified,Mombasa,9,0,f,f,Operational,-4.043477,39.668205
99,17959,Sky Way Medical Clinic,Meru,Imenti South,Medical Clinic,Private Practice - Nurse / Midwife,Kionyo Market,0,0,f,f,Operational,0.05,37.65
100,18622,Skyhill Medical Centre,Nairobi,Dagoretti North,Health Centre,Private Practice - Medical Specialist,Stage 2,10,2,f,f,Operational,-1.286389,36.817223
101,18000,Skymed Medical Clinic Githunguri,Nairobi,Kasarani,Medical Clinic,Private Practice - General Practitioner,Utawala Shopping Centre,0,0,f,f,Operational,-1.286389,36.817223
102,11014,Slope Optician,Kirinyaga,Kirinyaga Central,Eye Centre,Private Enterprise (Institution),Kagio,0,0,f,f,Operational,-0.5,37.283333
103,18717,Slopes Medical Clinic,Meru,Imenti North,Medical Clinic,Private Practice - Unspecified,Timau Market,0,0,f,f,Operational,0.05,37.65
104,19994,Slum Medical Clinic,Nairobi,Kibra,Medical Clinic,Private Practice - Nurse / Midwife,,0,0,f,f,Operational,-1.286389,36.817223
